tweet_id	tweet_time	tweet_text	tweet_coordinates	lat_origin	long_origin	uber_estimate
834239420740009984	2017-02-21 22:12:31-05:00	"Inviting you over to see my M.I.A. Inspired Makeup Look from her New Song P.O.W.A. COPY &amp; PASTE\u2026 https://t.co/IVgbvaFiJw"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834239423260733440	2017-02-21 22:12:32-05:00	"Classic ....custom made ... articlesofstyle shot by @AlexCrawford1 #dantrepanier @ New York\u2026 https://t.co/65KdZv50Xj"	[40.72988718, -73.99608036]	40.72988718	-73.99608036	71.0
834239428130283522	2017-02-21 22:12:33-05:00	"#NYC New York by day #driving #streetview #traffic #buildingnyc\u2026 https://t.co/tKq40wd1FD"	[40.74208978, -73.98823897]	40.74208978	-73.98823897	66.0
834239442831306752	2017-02-21 22:12:37-05:00	"We're #hiring! Read about our latest #job opening here: Restaurant Associate - Cashier - https://t.co/mu6WUwJ7Mx\u2026 https://t.co/LC2atcsZqO"	[40.7347942, -73.9895321]	40.7347942	-73.9895321	68.0
834239511773270020	2017-02-21 22:12:53-05:00	"Respect all, fear none. Link to our shop here in our bio. @ Under NY Sky https://t.co/4R83ulMRT2"	[40.7829995, -73.9511195]	40.7829995	-73.9511195	56.0
834239526235099137	2017-02-21 22:12:57-05:00	"\"it's just a doodoo machine\" - Robb Cantrell #ugit @ Exile Above 2A https://t.co/S0BDb6bjqv"	[40.7229881, -73.9860382]	40.7229881	-73.9860382	71.0
834239573924442112	2017-02-21 22:13:08-05:00	"412 East 117th Street, Manhattan https://t.co/wHm5SvBt7v"	[40.79619, -73.93435]	40.79619	-73.93435	52.0
834239576764010496	2017-02-21 22:13:09-05:00	"@FancyFeast #FancyFeast for my kitties \ud83d\ude3b + #RoastedCarrots (@ Westside Market) https://t.co/xsuztztaK3 https://t.co/8DAtmK7VsA"	[40.79567476, -73.97111967]	40.79567476	-73.97111967	64.0
834239616689512450	2017-02-21 22:13:18-05:00	"#NYC New York by day #driving #streetview #traffic #buildingnyc\u2026 https://t.co/vSYt5nSU16"	[40.74208978, -73.98823897]	40.74208978	-73.98823897	66.0
834239617977028612	2017-02-21 22:13:19-05:00	"Feliz cumplea\u00f1os @reyniscano! Oficialmente llegas al 3er piso antes\u2026 https://t.co/hSw7pbiZ0t"	[40.68972222, -74.04527778]	40.68972222	-74.04527778	41.0
834239635496669184	2017-02-21 22:13:23-05:00	"#Repost hi_im_andyman\n\u30fb\u30fb\u30fb\n#art\ud83c\udfa8 #hellraiser #imlovinit @ Bushwick/Ridgewood https://t.co/1YYoSssRqZ"	[40.69451408, -73.91582428]	40.69451408	-73.91582428	84.0
834239664290676736	2017-02-21 22:13:30-05:00	"After class Dinner! #yummyyummyboo\ud83d\ude0b \n#teamboo #DanceBoo #naruto #dinner #narutoramen #nyc #tasty\u2026 https://t.co/UYNHd3i1uM"	[40.7968567, -73.9698717]	40.7968567	-73.9698717	60.0
834239732494262272	2017-02-21 22:13:46-05:00	"Flashback: Makeup for @thegooddrnik \ud83d\ude0d\ud83d\ude0d \n\u2728 @maccosmetics \"mellow moderns\" palette \n\u2728\u2026 https://t.co/j9upl2rtuW"	[40.6820226, -73.9287225]	40.6820226	-73.9287225	64.0
834239744670306304	2017-02-21 22:13:49-05:00	"#onmyway #byeny #emirates #jfk @ John F. Kennedy International Airport https://t.co/tqU4ND9c1m"	[40.64610466, -73.78438205]	40.64610466	-73.78438205	33.0
834239750387167233	2017-02-21 22:13:50-05:00	"BECCA HIGHLIGHTER @ New York, New York https://t.co/znFJzlrpqJ"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834239768410128384	2017-02-21 22:13:54-05:00	"About tonight ... photographing @afropunk panel discussion @natblacktheatre\u2026 https://t.co/Vzdot8ZkJ2"	[40.806662, -73.9418759]	40.806662	-73.9418759	53.0
834239782972694529	2017-02-21 22:13:58-05:00	"Just posted a photo @ New York, New York https://t.co/gwgvd0KPqt"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834239787431112704	2017-02-21 22:13:59-05:00	"Just posted a video @ Somewhere In Brooklyn https://t.co/vK8AnHeLr8"	[40.684013, -73.968904]	40.684013	-73.968904	67.0
834239830129311745	2017-02-21 22:14:09-05:00	"THIS FRIDAY at #SLLOUNGE #OPENBARFRIDAYS\nEn Vivo Cantando todos sus Exitos #MESSIAH\u2026 https://t.co/RtCPJYSUPM"	[40.7488048, -73.8700048]	40.7488048	-73.8700048	77.0
834239839298002944	2017-02-21 22:14:11-05:00	"Always end the day with a positive thought.\nNo matter how hard things were, tomorrow's a fresh\u2026 https://t.co/7Nr3zN4iJa"	[40.70276865, -73.98976266]	40.70276865	-73.98976266	68.0
834239846591893504	2017-02-21 22:14:13-05:00	"Naked UD. @ New York, New York https://t.co/TlesGpbWLJ"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834239886819340288	2017-02-21 22:14:23-05:00	"#Repost hi_im_andyman\n\u30fb\u30fb\u30fb\n#airbrush #ocean #art\ud83c\udfa8 @ Bushwick/Ridgewood https://t.co/B7N0ONo1OR"	[40.69451408, -73.91582428]	40.69451408	-73.91582428	84.0
834239890728550405	2017-02-21 22:14:24-05:00	"Closure on #East75ThStreet WB from Park Avenue to Madison Avenue https://t.co/sC2BbVcj7S"	[40.772953, -73.962321]	40.772953	-73.962321	77.0
834239890715992069	2017-02-21 22:14:24-05:00	"Closure on #East75ThStreet WB from Park Avenue to Madison Avenue https://t.co/WYPzdAWYtp"	[40.772953, -73.962321]	40.772953	-73.962321	77.0
834239956595773441	2017-02-21 22:14:39-05:00	"They Love me They LOVE ME \ud83d\ude09.\n.\n.\n.\n#nyc #fashion #style #topman #iotaphitheta #stylist\u2026 https://t.co/VIcZ6Dy80P"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834239967014637568	2017-02-21 22:14:42-05:00	"crcaracing will be at the NYC Rapha Clubhouse tomorrow evening, Wed. Feb. 22, 6:30-8pm to\u2026 https://t.co/hr9pRN1BWm"	[40.72597693, -74.00112334]	40.72597693	-74.00112334	72.0
834239985880440833	2017-02-21 22:14:46-05:00	"#mansbestfriend \u2764 @ The Corby Estate https://t.co/9osGXd0rVI"	[40.92712479, -73.86765472]	40.92712479	-73.86765472	97.0
834240110292037632	2017-02-21 22:15:16-05:00	"Want to work at CVS Health? We're #hiring in #NewYork, NY! Click for details: https://t.co/4kMAjcYQA6 #Job #Jobs"	[40.7127837, -74.0059413]	40.7127837	-74.0059413	73.0
834240112959639554	2017-02-21 22:15:17-05:00	"#housecall at MiMA, luxury banging apts\n\nI'll bring it to you, local or out of state, for\u2026 https://t.co/B056OrdYdd"	[40.7593, -73.995]	40.7593	-73.995	59.0
834240116839301120	2017-02-21 22:15:17-05:00	"The weather felt like spring in NYC and it's only February! Nice walk at #centralpark\u2026 https://t.co/vYpGMzWsNb"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834240352303333376	2017-02-21 22:16:14-05:00	"Personally, I think I've exercising excellent judgment drinking this becau... (Pour Judgement IPA) https://t.co/4QcQhSrxZO"	[40.7313, -73.9866]	40.7313	-73.9866	70.0
834240384398139393	2017-02-21 22:16:21-05:00	"#pinkheart #pink #heart #sparkle #necklace @ Hudson Yards New York https://t.co/ro8WQ9NqAT"	[40.7167, -74.0]	40.7167	-74.0	70.0
834240397077573632	2017-02-21 22:16:24-05:00	"A06022 [NEW] Instructs the superintendent of insurance to deny policies imposing drug tiers based on expense or d... https://t.co/QVDiObF1xH"	[40.77112, -73.97419]	40.77112	-73.97419	78.0
834240407856902144	2017-02-21 22:16:27-05:00	"Closure on #East68ThStreet Both directions from 5th Avenue to Madison Avenue https://t.co/iuTAkTiMoQ"	[40.769573, -73.968157]	40.769573	-73.968157	80.0
834240408595070981	2017-02-21 22:16:27-05:00	"Closure on #East68ThStreet Both directions from 5th Avenue to Madison Avenue https://t.co/SdQ85CvRzE"	[40.769573, -73.968157]	40.769573	-73.968157	80.0
834240415779913728	2017-02-21 22:16:29-05:00	"Clean lines @ For Five Coffee Shop https://t.co/qyKzK282Su"	[40.75793, -73.98325]	40.75793	-73.98325	63.0
834240422058848260	2017-02-21 22:16:30-05:00	"#Repost @montanoy27 with @repostapp\n\u30fb\u30fb\u30fb\nWe do catering,corporate, private events. Come and join\u2026 https://t.co/6MCQHteG4n"	[40.8699577, -73.9154936]	40.8699577	-73.9154936	80.0
834240426722869248	2017-02-21 22:16:31-05:00	"#Repost @montanoy27 with @repostapp\n\u30fb\u30fb\u30fb\nWe do catering,corporate, private events. Come and join\u2026 https://t.co/lVvsHbwNvf"	[40.8699577, -73.9154936]	40.8699577	-73.9154936	80.0
834240435493171201	2017-02-21 22:16:33-05:00	"tide es turnin @ Parc d'\u00c9tat de Harriman https://t.co/MFFvNzjU0w"	[41.2431, -74.1006]	41.2431	-74.1006	-1
834240506066374656	2017-02-21 22:16:50-05:00	"My home is always packed with my beloved #ginger + #turmeric \ud83d\ude0b\ud83d\udc4c #weightloss #fatburning #health\u2026 https://t.co/JurnnQZymh"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834240511896596482	2017-02-21 22:16:52-05:00	"Dropping Wed 2/22 @AlexsiaMusic Cover Song &amp; Video Of @benatargiraldo #PatBenatar Classic Song!\u2026 https://t.co/mbMSIsAyl9"	[40.75079924, -73.99297235]	40.75079924	-73.99297235	62.0
834240569501220867	2017-02-21 22:17:05-05:00	"After a really rough few weeks, something made me happy today. My Super Bowl Champion gear came!\u2026 https://t.co/27lv33tl80"	[40.78694444, -73.97527778]	40.78694444	-73.97527778	63.0
834240579202580480	2017-02-21 22:17:08-05:00	"\ud83d\ude0d\ud83c\uddfa\ud83c\uddf8 cocktails with a view #NewYork #BarSixtyFive #RainbowRooms #Rockerfeller #View @ Bar SixtyFive https://t.co/7tZY3cG6ek"	[40.75884, -73.97881]	40.75884	-73.97881	71.0
834240605811249152	2017-02-21 22:17:14-05:00	"#davidestreicharchitects #signaturestyle #welcomehome #turningtheboxintoahome #davidestreich\u2026 https://t.co/zmd4XvLGQ2"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834240625541160960	2017-02-21 22:17:19-05:00	"cash me outside @ Times Square - New York City - Manhattan https://t.co/WMTQhzC6fZ"	[40.75798, -73.98531]	40.75798	-73.98531	67.0
834240637948026880	2017-02-21 22:17:22-05:00	"NYC shenanigans!!! #returntoroots #mybestie miss you \ud83d\ude2b\ud83d\ude2b\ud83d\ude2b\ud83d\ude2b\ud83d\ude2b @ The Gramercy Theatre https://t.co/qvPAmrDygv"	[40.73974164, -73.98504135]	40.73974164	-73.98504135	66.0
834240677357707264	2017-02-21 22:17:31-05:00	"#returntoroots @ The Gramercy Theatre https://t.co/f7TZfUjNDO"	[40.73974164, -73.98504135]	40.73974164	-73.98504135	66.0
834240678725091330	2017-02-21 22:17:31-05:00	"Cleared: Incident on #I678 SB at Exit 4 -  Liberty Avenue"	[40.688999, -73.808799]	40.688999	-73.808799	32.0
834240679312232448	2017-02-21 22:17:32-05:00	"Cleared: Incident on #I678 SB at Exit 4 -  Liberty Avenue"	[40.688999, -73.808799]	40.688999	-73.808799	32.0
834240684995391488	2017-02-21 22:17:33-05:00	"This Saturday night - ladyfag  presents The Closet:3!\n\nW/\u2026 https://t.co/tMI17lu4Fd"	[40.72202654, -73.95879418]	40.72202654	-73.95879418	85.0
834240686324977664	2017-02-21 22:17:33-05:00	"#mansbestfriend \u2764 @ The Corby Estate https://t.co/5QvH016esc"	[40.92712479, -73.86765472]	40.92712479	-73.86765472	97.0
834240693317017601	2017-02-21 22:17:35-05:00	"\ud83e\uddc0Burrata &amp; prosciutto &amp; great company. That's what Mondays disguised as Tuesdays are\u2026 https://t.co/OPZKzRNq2Q"	[40.7641085, -73.9881285]	40.7641085	-73.9881285	70.0
834240706453467136	2017-02-21 22:17:38-05:00	"silent filmmaking @ West Village https://t.co/s50DRXJTEB"	[40.7358, -74.0036]	40.7358	-74.0036	61.0
834240711419650048	2017-02-21 22:17:39-05:00	"#Repost @montanoy27 with @repostapp\n\u30fb\u30fb\u30fb\n\ud83c\udfb6\ud83c\udfbc\ud83c\udfb5 josealmont1 lapiedra_debonao PRESENTA A\u2026 https://t.co/gUWbLv2IN4"	[40.86266, -73.90697]	40.86266	-73.90697	59.0
834240716578680832	2017-02-21 22:17:40-05:00	"#Repost @montanoy27 with @repostapp\n\u30fb\u30fb\u30fb\n\ud83c\udfb6\ud83c\udfbc\ud83c\udfb5 josealmont1 lapiedra_debonao PRESENTA A\u2026 https://t.co/9YLIUpl2wW"	[40.86266, -73.90697]	40.86266	-73.90697	59.0
834240725902565377	2017-02-21 22:17:43-05:00	"All 3 beauties done by me. @ Equinox East 44th Street https://t.co/SacQumnprb"	[40.752733, -73.975757]	40.752733	-73.975757	64.0
834240728091938816	2017-02-21 22:17:43-05:00	"Allen Enlow from the #Sopranos! #ugit @ Exile Above 2A https://t.co/u11D5z4bRf"	[40.7229881, -73.9860382]	40.7229881	-73.9860382	71.0
834240735889195008	2017-02-21 22:17:45-05:00	"me dijo vamos a comer ensaladas y luego un postre...y me trajo aqui\ud83d\ude0d @ Martha's Country Bakery\u2026 https://t.co/cQVpTmSEsf"	[40.7149549, -73.9608362]	40.7149549	-73.9608362	73.0
834240835197628417	2017-02-21 22:18:09-05:00	"light rain -&gt; overcast clouds\ntemperature down 51\u00b0F -&gt; 50\u00b0F\nhumidity up 61% -&gt; 70%\nwind 7mph -&gt; 5mph"	[43.15, -77.55]	43.15	-77.55	-1
834240850506833920	2017-02-21 22:18:12-05:00	"Milk in a fine glass accompanied by a healthy protein cookie.... @ Murphy Houses https://t.co/ZaHdXQRtdX"	[40.84274456, -73.89431308]	40.84274456	-73.89431308	55.0
834240870132113408	2017-02-21 22:18:17-05:00	"Beauty in films \ud83c\udfac\u2728\u2728\u2728How beautiful is this eye make up ( and the costume) \u2728\u2728\u2728 from the movie \"\u2026 https://t.co/NHo5ukuANX"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834240875664322561	2017-02-21 22:18:18-05:00	"Who knew believing in yourself and teaching others how to do the same would make the American\u2026 https://t.co/w7Ja8zcC40"	[40.83916667, -73.94055556]	40.83916667	-73.94055556	50.0
834240919939452928	2017-02-21 22:18:29-05:00	"#tonightsbill #Waitress with Deb for her birthday. We loved every second! #sugarbutterflour\u2026 https://t.co/FdZRQUfKzk"	[40.7598, -73.9863]	40.7598	-73.9863	68.0
834240922074349569	2017-02-21 22:18:29-05:00	"\"Refugees Welcome\" She has never looked better! @ Statue of Liberty National Monument https://t.co/5QLbpbAVSO"	[40.70286, -74.01432]	40.70286	-74.01432	73.0
834241000524673025	2017-02-21 22:18:48-05:00	"Proverbs 22:6New King James Version (NKJV)\n\nTrain up a child in the way he should go,\nAnd when\u2026 https://t.co/8UpozFi4EG"	[40.85, -73.8667]	40.85	-73.8667	64.0
834241004165214208	2017-02-21 22:18:49-05:00	"Join the The MENTOR Network team! See our latest #job opening here: https://t.co/6DZfi2pref #Folsom, NJ #Hiring"	[39.6020607, -74.8426652]	39.6020607	-74.8426652	26.0
834241042039894016	2017-02-21 22:18:58-05:00	"142.\nOh hi there! You got games?\n#ny #newyork #nyc #newyorkcity #rockefellercenter #topoftherock\u2026 https://t.co/dU7gP4bJOR"	[40.75906157, -73.97936699]	40.75906157	-73.97936699	72.0
834241092652462080	2017-02-21 22:19:10-05:00	"#Repost hi_im_andyman\n\u30fb\u30fb\u30fb\n#airbrush #wicked #witch @ Bushwick/Ridgewood https://t.co/WhGtLIQmo1"	[40.69451408, -73.91582428]	40.69451408	-73.91582428	84.0
834241109949820928	2017-02-21 22:19:14-05:00	"\ud83d\udd25\ud83d\udd25\ud83d\udd25shoot with my buds irenewongi and jean_jeanie_                     .\n.\n.\n.\n#cinematography\u2026 https://t.co/WmSUa3CyAG"	[40.65, -73.95]	40.65	-73.95	63.0
834241114119012352	2017-02-21 22:19:15-05:00	"@arainert We just got one of these as well but haven't even unboxed it yet."	[40.68983002, -73.98124892]	40.68983002	-73.98124892	60.0
834241138315898880	2017-02-21 22:19:21-05:00	"15 years ago, today. \n\nStill trying to see and understand myself, and my limitations. \n\nBut\u2026 https://t.co/oHlXpTvqZg"	[40.65, -73.95]	40.65	-73.95	63.0
834241174575730688	2017-02-21 22:19:30-05:00	"Construction on #GrandCentralParkway EB from Roosevelt Avenue to Exit 10 - I-495 Long Island Expressway https://t.co/Xx4Fwhlb3J"	[40.752601, -73.852203]	40.752601	-73.852203	57.0
834241174571454465	2017-02-21 22:19:30-05:00	"Construction on #GrandCentralParkway EB from Roosevelt Avenue to Exit 10 - I-495 Long Island Expressway https://t.co/WyGEFJUin4"	[40.752601, -73.852203]	40.752601	-73.852203	57.0
834241204015468544	2017-02-21 22:19:37-05:00	"#DBS Charcoal \"Basic Beanie\" \ud83d\udc82\ud83c\udffd #dbsfamily $13 @ Duke's Barber Shop https://t.co/pZSi9tVrSh"	[42.65998569, -73.78069807]	42.65998569	-73.78069807	-1
834241215717576705	2017-02-21 22:19:39-05:00	"Back to #newyork (at @WhiskeyBlueNyc in New York, NY) https://t.co/HHiNOzST1x https://t.co/yZSrr46G5i"	[40.75622921, -73.97260045]	40.75622921	-73.97260045	65.0
834241221992259584	2017-02-21 22:19:41-05:00	"We Hit 3,000 Real Followers @hamletsvintage #celebration #cheers #thankful #party #inspiration\u2026 https://t.co/fIifhL398I"	[40.73145067, -74.00074261]	40.73145067	-74.00074261	71.0
834241224013815808	2017-02-21 22:19:41-05:00	"Thank you to everyone for the Birthday Wishes! Ready to see what 24 has in store for me! \ud83d\ude4c\ud83c\udffe\u2728\ud83c\udf88\u2026 https://t.co/lLNJF8x9eQ"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834241285175312384	2017-02-21 22:19:56-05:00	"H A P P Y N A T I O N A L S T I C K Y B U N D A Y @ Roberta's https://t.co/ENFFrW9Y6s"	[40.70506494, -73.93364684]	40.70506494	-73.93364684	84.0
834241285838012417	2017-02-21 22:19:56-05:00	"1000 #3 White 9 x 12 Poly Mailers $65.00 #FreeShip https://t.co/twIyXJMAMU #MailingShipping #Supplies https://t.co/t84phIEg4F"	[40.6548713, -74.0064354]	40.6548713	-74.0064354	82.0
834241330305966081	2017-02-21 22:20:07-05:00	"Ate some very legit Lebanese food in Rochester tonight -reminded me/matt of the shawarma shop\u2026 https://t.co/KLzfUu4nw2"	[43.14352, -77.58784]	43.14352	-77.58784	-1
834241332508028930	2017-02-21 22:20:07-05:00	"This show is great!! Thank you so much @niasiaaaaa great birthday gift!! \u2764\u2764\u2764\u2764 wecomefromaway was\u2026 https://t.co/THeGwlf0bx"	[40.75881642, -73.98723776]	40.75881642	-73.98723776	67.0
834241344021204993	2017-02-21 22:20:10-05:00	"Truth... @ \u30a2\u30c3\u30d1\u30fc\u30fb\u30a4\u30fc\u30b9\u30c8\u30fb\u30b5\u30a4\u30c9 https://t.co/qGg4G14gHP"	[40.76916667, -73.96555556]	40.76916667	-73.96555556	80.0
834241366393659392	2017-02-21 22:20:15-05:00	"@lindavojtova knows how to be sweet....at the Rusalka opera @ The Metropolitan Opera https://t.co/8sisY8sqMc"	[40.77261188, -73.98412228]	40.77261188	-73.98412228	74.0
834241388959109122	2017-02-21 22:20:21-05:00	"\u00a1\u00a1\u00a1NUEVO VIDEO!!!\ud83d\udde3 RETO DE MAQUILLAJE SIN ESPEJOS!!!\ud83d\ude31\ud83e\udd14 Link en la biograf\u00eda!! #youtube\u2026 https://t.co/PNNZicsgAH"	[40.8725, -73.8879]	40.8725	-73.8879	77.0
834241464859254785	2017-02-21 22:20:39-05:00	"I'm always so excited to go to my gym! @ TMPL GYM https://t.co/HyrztKfwyC"	[40.7626576, -73.9885646]	40.7626576	-73.9885646	68.0
834241573986529280	2017-02-21 22:21:05-05:00	"Coming soon to to the #WoodOven @lilfrankies #KaleGnocchi alla #Sorrentina\n#staytuned @ Lil'\u2026 https://t.co/vjz275756q"	[40.7233873, -73.98833763]	40.7233873	-73.98833763	70.0
834241619289272321	2017-02-21 22:21:16-05:00	"Got permission from my legs to ride 3 more times tomorrow. You coming? @soulcycle #CHLS #TRI @\u2026 https://t.co/sXxtGwXU78"	[40.80903333, -73.94837222]	40.80903333	-73.94837222	59.0
834241625056481282	2017-02-21 22:21:17-05:00	"OH BOYYYYYY \ud83d\udc40\ud83d\ude24 @jayprezi @Tokyodee3 @legalizeyayo \n\n\ud83d\ude08 @ East Harlem https://t.co/FAhcr2L4wF"	[40.79795556, -73.94004722]	40.79795556	-73.94004722	54.0
834241628147740672	2017-02-21 22:21:18-05:00	"@therealMIXHELL #returntoroots @ The Gramercy Theatre https://t.co/GfJCJVjomm"	[40.73974164, -73.98504135]	40.73974164	-73.98504135	66.0
834241631394017280	2017-02-21 22:21:19-05:00	"Adding a few Australian wines to @themodernnyc wine list. @wine_australia #domainelucci\u2026 https://t.co/jb8FmdtlWs"	[40.76144153, -73.97675135]	40.76144153	-73.97675135	74.0
834241633449283586	2017-02-21 22:21:19-05:00	"He loves coming here late night (@ Dewitt Clinton Park Dog Run - @nycparks in New York, NY) https://t.co/yv9ERUz2T6 https://t.co/5ITJNKmE8R"	[40.76748084, -73.99400743]	40.76748084	-73.99400743	69.0
834241697815130112	2017-02-21 22:21:34-05:00	"Check it out... @ilzegideons newest connect group #meetup run by\u2026 https://t.co/4xUHwG6eJT"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834241723467497472	2017-02-21 22:21:40-05:00	"Follow me to New York!\n\nSi, a una ciudad magn\u00edfica donde su magnitud te invita a so\u00f1ar un sinf\u00edn\u2026 https://t.co/SDuh8LaOql"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834241724306317313	2017-02-21 22:21:41-05:00	"Current Skincare Favorites   https://t.co/Xi5bDjNaF7"	[40.7207559, -74.0007613]	40.7207559	-74.0007613	62.0
834241749031727105	2017-02-21 22:21:47-05:00	"Mixed #paint @ Colossal Media https://t.co/NpdeoP9IAG"	[40.72103, -73.9582099]	40.72103	-73.9582099	77.0
834241763376259072	2017-02-21 22:21:50-05:00	"It is always a blast at this #curvasana #yoga class! I'm hidden in the background but everyone\u2026 https://t.co/oJ2xU3hOZh"	[40.84576, -73.8587]	40.84576	-73.8587	61.0
834241770095419393	2017-02-21 22:21:52-05:00	"Coming to bed like...#hankfirst #hankthetank @ Crown Heights, Brooklyn https://t.co/fbBXw95UX5"	[40.66305556, -73.94472222]	40.66305556	-73.94472222	65.0
834241783651500033	2017-02-21 22:21:55-05:00	"Q#artstreetmoment @ Hell's Kitchen, Manhattan https://t.co/JKKwPQXUCh"	[40.763186, -73.994508]	40.763186	-73.994508	68.0
834241903570739200	2017-02-21 22:22:23-05:00	"The Kings Theatre before it was renovated. It's absolutely gorgeous now, but old Brooklyn\u2026 https://t.co/3xKWgEc1e9"	[40.64041667, -73.96208333]	40.64041667	-73.96208333	76.0
834241922105561088	2017-02-21 22:22:28-05:00	"Construction on #GrandCentralParkway WB at Exit 10 - I-495 Long Island Expressway https://t.co/Y1m2fs1aFX"	[40.744899, -73.847503]	40.744899	-73.847503	47.0
834241923024056326	2017-02-21 22:22:28-05:00	"Construction on #GrandCentralParkway WB at Exit 10 - I-495 Long Island Expressway https://t.co/yC30P19UjW"	[40.744899, -73.847503]	40.744899	-73.847503	47.0
834241986844581890	2017-02-21 22:22:43-05:00	"#Yaaaoooo a brand is a voice and a product is a souvenir ( https://t.co/jAtiJZPUTS)... Shot fired\u2026 https://t.co/Ku8i7s9vBK"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834242040296783872	2017-02-21 22:22:56-05:00	"\"Make Empathy Great Again\"\n\nI generally stay out of my own photos, but I was feeling a little\u2026 https://t.co/oUXpwGXx80"	[40.769137, -73.981572]	40.769137	-73.981572	74.0
834242068801343489	2017-02-21 22:23:03-05:00	"Congrats @untitlednyc's suzycupps &amp; all starchefs #nyrisingstars! Loved Suzanne's dish: roasted\u2026 https://t.co/T5Wzz1BPXR"	[40.7188419, -73.99526367]	40.7188419	-73.99526367	68.0
834242084534120448	2017-02-21 22:23:07-05:00	"Natural beauty \nHmua @MisterArmani2u @ Equinox East 44th Street https://t.co/5ofbbMxflV"	[40.752733, -73.975757]	40.752733	-73.975757	64.0
834242101416230912	2017-02-21 22:23:11-05:00	"Central Park @ Central Park West, NYC https://t.co/wE6ZSS0hNM"	[40.79183561, -73.96414624]	40.79183561	-73.96414624	61.0
834242105904136192	2017-02-21 22:23:12-05:00	"I'm at New York Sports Clubs in Whitestone, NY https://t.co/zq5hSORSm0"	[40.7870871, -73.8087254]	40.7870871	-73.8087254	37.0
834242118696710144	2017-02-21 22:23:15-05:00	"Just posted a photo @ Times Square - New York City - Manhattan https://t.co/tyRKORcZt2"	[40.75798, -73.98531]	40.75798	-73.98531	67.0
834242175907028993	2017-02-21 22:23:28-05:00	"Just posted a photo @ Mt. Van Hoevenberg Olympic Bobsled Run https://t.co/4QpYyrS9at"	[44.2202, -73.9213]	44.2202	-73.9213	-1
834242207834001411	2017-02-21 22:23:36-05:00	"One of the greatest shows I've ever seen!  #ReturnToRoots #Cavaleras #Tribe #Family #Metal \\m/ @\u2026 https://t.co/BAqy5R4PdN"	[40.73974164, -73.98504135]	40.73974164	-73.98504135	66.0
834242221188722689	2017-02-21 22:23:39-05:00	"Had a blast tonight with Mr. Hanif Russell, from CBC,  and fellow\u2026 https://t.co/Eh4K78tmVg"	[40.674638, -73.736697]	40.674638	-73.736697	37.0
834242282920439808	2017-02-21 22:23:54-05:00	"Nothing! @ Manhattan, New York https://t.co/lGk2yBmwk1"	[40.7779, -73.9675]	40.7779	-73.9675	75.0
834242311819235328	2017-02-21 22:24:01-05:00	"i can be \"artsy\" too #lake #trees #sky #westdidsbury #notwestdidsbury #newyork #centralpark\u2026 https://t.co/L2YPIxuLaE"	[40.77274259, -73.972216]	40.77274259	-73.972216	77.0
834242315459915776	2017-02-21 22:24:02-05:00	"Phoebe is always on your shoulder. \u270c\ufe0f\ud83d\udda4\nphoebenewyork / Big Ronnie &amp; Street Art\u2026 https://t.co/l6jDwDDywA"	[40.717222, -73.989722]	40.717222	-73.989722	65.0
834242335928090625	2017-02-21 22:24:07-05:00	"\"We use #afrofuturism as a way to imagine different futures against gentrification and\u2026 https://t.co/1EnO89OstT"	[40.6883399, -73.97914]	40.6883399	-73.97914	67.0
834242340323594240	2017-02-21 22:24:08-05:00	"Beautiful peony by Resident Artist @BettyRoseTattoo \nTo book with Betty please visit her website\u2026 https://t.co/oSKSIH4RCS"	[40.71529978, -73.96309107]	40.71529978	-73.96309107	80.0
834242363526672387	2017-02-21 22:24:13-05:00	"Tonight was my #offbroadway and #nyc director debut! My heart and soul are full of love! Working\u2026 https://t.co/jHAYwOOHGJ"	[40.74964, -74.00147]	40.74964	-74.00147	62.0
834242375199358976	2017-02-21 22:24:16-05:00	"52 years ago TODAY\nel-Hajj Malik el-Shabazz was gunned down on February 21st\u2026 https://t.co/jgo1KNTKLj"	[40.83916667, -73.94055556]	40.83916667	-73.94055556	50.0
834242415095603203	2017-02-21 22:24:25-05:00	"49 of 365 // You Can't Sit With Us // My obsession with chairs continues. I've made a consensus\u2026 https://t.co/x2hr61FBjb"	[40.69416667, -73.91861111]	40.69416667	-73.91861111	76.0
834242415141728257	2017-02-21 22:24:25-05:00	"An old favorite done on my Dylusions Journal, done with charcoal, gesso, Graphitint pencils,\u2026 https://t.co/E6hBoHaphR"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834242420908888064	2017-02-21 22:24:27-05:00	"Omg que rico!!! Receta de hoy: balsamic chicken rustico #bonapetit # est\u00e1 encantando @hellofresh\u2026 https://t.co/D16NKQEGtU"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
